timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1642362651157,572,Anasayfa,200,OK,Thread Group 1-1,false,"The operation lasted too long: It took 572 milliseconds, but should not have lasted longer than 300 milliseconds.",23755,2,2,522,1,1,DESKTOP-AAG18PE
1642362651561,291,Anasayfa,200,OK,Thread Group 1-2,true,,23755,2,2,257,1,0,DESKTOP-AAG18PE
1642362651731,251,LoginLogoutEvent,200,OK,Thread Group 1-1,true,,636,3,3,250,1,0,DESKTOP-AAG18PE
1642362651853,196,LoginLogoutEvent,200,OK,Thread Group 1-2,true,,636,3,3,196,1,0,DESKTOP-AAG18PE
1642362651983,96,UserMenu,200,OK,Thread Group 1-1,true,,1646,3,3,96,1,0,DESKTOP-AAG18PE
1642362652051,44,UserMenu,200,OK,Thread Group 1-2,true,,1646,3,3,44,1,0,DESKTOP-AAG18PE
1642362652080,62,HomePageProducts,200,OK,Thread Group 1-1,true,,4065,3,3,61,1,0,DESKTOP-AAG18PE
1642362652096,49,HomePageProducts,200,OK,Thread Group 1-2,true,,4065,3,3,49,1,0,DESKTOP-AAG18PE
1642362652144,58,SuggestProduct,200,OK,Thread Group 1-1,true,,1375,3,3,58,1,0,DESKTOP-AAG18PE
1642362651961,283,Anasayfa,200,OK,Thread Group 1-3,true,,23755,3,3,235,1,0,DESKTOP-AAG18PE
1642362652204,68,SearchProduct,200,OK,Thread Group 1-1,true,,17980,3,3,67,1,0,DESKTOP-AAG18PE
1642362652274,94,UserMenu,200,OK,Thread Group 1-1,true,,1646,4,4,94,1,0,DESKTOP-AAG18PE
1642362652147,288,SuggestProduct,200,OK,Thread Group 1-2,true,,942,4,4,288,1,0,DESKTOP-AAG18PE
1642362652246,233,LoginLogoutEvent,200,OK,Thread Group 1-3,true,,876,4,4,233,1,0,DESKTOP-AAG18PE
1642362652480,44,UserMenu,200,OK,Thread Group 1-3,true,,1646,4,4,44,1,0,DESKTOP-AAG18PE
1642362652525,109,HomePageProducts,200,OK,Thread Group 1-3,true,,4065,4,4,109,1,0,DESKTOP-AAG18PE
1642362652362,303,Anasayfa,200,OK,Thread Group 1-4,false,"The operation lasted too long: It took 303 milliseconds, but should not have lasted longer than 300 milliseconds.",23755,4,4,265,1,1,DESKTOP-AAG18PE
1642362652436,230,SearchProduct,200,OK,Thread Group 1-2,true,,18003,4,4,218,1,0,DESKTOP-AAG18PE
1642362652635,49,SuggestProduct,200,OK,Thread Group 1-3,true,,1375,4,4,49,1,0,DESKTOP-AAG18PE
1642362652666,44,UserMenu,200,OK,Thread Group 1-2,true,,1646,4,4,44,1,0,DESKTOP-AAG18PE
1642362652685,57,SearchProduct,200,OK,Thread Group 1-3,true,,17967,4,4,57,1,0,DESKTOP-AAG18PE
1642362652369,67,ListSearchProducts,200,OK,Thread Group 1-1,false,"No Nodes Matched //li/class/filter__dropdown-list
",9311,4,4,66,1,1,DESKTOP-AAG18PE
1642362652743,44,UserMenu,200,OK,Thread Group 1-3,true,,1646,5,5,44,1,0,DESKTOP-AAG18PE
1642362652759,82,Anasayfa,200,OK,Thread Group 1-1,true,,23755,5,5,75,1,0,DESKTOP-AAG18PE
1642362652666,184,LoginLogoutEvent,200,OK,Thread Group 1-4,true,,636,5,5,184,1,0,DESKTOP-AAG18PE
1642362652788,54,ListSearchProducts,200,OK,Thread Group 1-3,false,"No Nodes Matched //li/class/filter__dropdown-list
",9311,5,5,54,1,1,DESKTOP-AAG18PE
1642362652850,48,UserMenu,200,OK,Thread Group 1-4,true,,1646,5,5,48,1,0,DESKTOP-AAG18PE
1642362652868,64,Anasayfa,200,OK,Thread Group 1-3,true,,23755,5,5,59,1,0,DESKTOP-AAG18PE
1642362652899,59,HomePageProducts,200,OK,Thread Group 1-4,true,,4065,5,5,59,1,0,DESKTOP-AAG18PE
1642362652758,247,Anasayfa,200,OK,Thread Group 1-5,true,,23755,5,5,209,1,0,DESKTOP-AAG18PE
1642362652958,47,SuggestProduct,200,OK,Thread Group 1-4,true,,725,5,5,47,1,0,DESKTOP-AAG18PE
1642362653006,61,SearchProduct,200,OK,Thread Group 1-4,true,,18003,5,5,61,1,0,DESKTOP-AAG18PE
1642362652841,284,LoginLogoutEvent,200,OK,Thread Group 1-1,true,,877,5,5,284,1,0,DESKTOP-AAG18PE
1642362653068,104,UserMenu,200,OK,Thread Group 1-4,true,,1646,5,5,104,1,0,DESKTOP-AAG18PE
1642362652933,254,LoginLogoutEvent,200,OK,Thread Group 1-3,true,,636,5,5,253,1,0,DESKTOP-AAG18PE
1642362653125,105,UserMenu,200,OK,Thread Group 1-1,true,,1646,5,5,105,1,0,DESKTOP-AAG18PE
1642362653187,50,UserMenu,200,OK,Thread Group 1-3,true,,1646,5,5,50,1,0,DESKTOP-AAG18PE
1642362653238,54,HomePageProducts,200,OK,Thread Group 1-3,true,,4065,5,5,53,1,0,DESKTOP-AAG18PE
1642362653006,305,LoginLogoutEvent,200,OK,Thread Group 1-5,false,"The operation lasted too long: It took 305 milliseconds, but should not have lasted longer than 300 milliseconds.",636,5,5,305,1,1,DESKTOP-AAG18PE
1642362652711,592,ListSearchProducts,200,OK,Thread Group 1-2,false,"The operation lasted too long: It took 592 milliseconds, but should not have lasted longer than 300 milliseconds.",4455,5,5,591,1,1,DESKTOP-AAG18PE
1642362653292,45,SuggestProduct,200,OK,Thread Group 1-3,true,,1375,5,5,45,1,0,DESKTOP-AAG18PE
1642362653312,46,UserMenu,200,OK,Thread Group 1-5,true,,1646,5,5,46,1,0,DESKTOP-AAG18PE
1642362653231,132,HomePageProducts,200,OK,Thread Group 1-1,true,,4065,5,5,132,1,0,DESKTOP-AAG18PE
1642362653339,59,SearchProduct,200,OK,Thread Group 1-3,true,,17967,5,5,58,1,0,DESKTOP-AAG18PE
1642362653359,49,HomePageProducts,200,OK,Thread Group 1-5,true,,4065,5,5,49,1,0,DESKTOP-AAG18PE
1642362653363,51,SuggestProduct,200,OK,Thread Group 1-1,true,,725,5,5,51,1,0,DESKTOP-AAG18PE
1642362653398,44,UserMenu,200,OK,Thread Group 1-3,true,,1646,5,5,44,1,0,DESKTOP-AAG18PE
1642362653339,108,Anasayfa,200,OK,Thread Group 1-2,true,,23755,5,5,101,1,0,DESKTOP-AAG18PE
1642362653409,46,SuggestProduct,200,OK,Thread Group 1-5,true,,1375,5,5,46,1,0,DESKTOP-AAG18PE
1642362653173,283,ListSearchProducts,200,OK,Thread Group 1-4,false,"No Nodes Matched //li/class/filter__dropdown-list
",4455,5,5,282,1,1,DESKTOP-AAG18PE
1642362653415,60,SearchProduct,200,OK,Thread Group 1-1,true,,18003,5,5,59,1,0,DESKTOP-AAG18PE
1642362653455,57,SearchProduct,200,OK,Thread Group 1-5,true,,17967,5,5,56,1,0,DESKTOP-AAG18PE
1642362653442,50,ListSearchProducts,200,OK,Thread Group 1-3,false,"No Nodes Matched //li/class/filter__dropdown-list
",9311,5,5,50,1,1,DESKTOP-AAG18PE
1642362653476,92,UserMenu,200,OK,Thread Group 1-1,true,,1646,4,4,92,1,0,DESKTOP-AAG18PE
1642362653467,102,Anasayfa,200,OK,Thread Group 1-4,true,,23755,4,4,101,1,0,DESKTOP-AAG18PE
1642362653513,92,UserMenu,200,OK,Thread Group 1-5,true,,1646,4,4,92,1,0,DESKTOP-AAG18PE
1642362653569,49,ListSearchProducts,200,OK,Thread Group 1-1,false,"No Nodes Matched //li/class/filter__dropdown-list
",4455,4,4,49,1,1,DESKTOP-AAG18PE
1642362653606,50,ListSearchProducts,200,OK,Thread Group 1-5,false,"No Nodes Matched //li/class/filter__dropdown-list
",9311,3,3,50,1,1,DESKTOP-AAG18PE
1642362653447,267,LoginLogoutEvent,200,OK,Thread Group 1-2,true,,636,3,3,267,1,0,DESKTOP-AAG18PE
1642362653685,65,Anasayfa,200,OK,Thread Group 1-5,true,,23755,3,3,60,1,0,DESKTOP-AAG18PE
1642362653715,42,UserMenu,200,OK,Thread Group 1-2,true,,1646,3,3,42,1,0,DESKTOP-AAG18PE
1642362653758,46,HomePageProducts,200,OK,Thread Group 1-2,true,,4065,3,3,46,1,0,DESKTOP-AAG18PE
1642362653805,43,SuggestProduct,200,OK,Thread Group 1-2,true,,725,3,3,43,1,0,DESKTOP-AAG18PE
1642362653569,328,LoginLogoutEvent,200,OK,Thread Group 1-4,false,"The operation lasted too long: It took 328 milliseconds, but should not have lasted longer than 300 milliseconds.",636,3,3,328,1,1,DESKTOP-AAG18PE
1642362653849,61,SearchProduct,200,OK,Thread Group 1-2,true,,18003,3,3,60,1,0,DESKTOP-AAG18PE
1642362653900,50,UserMenu,200,OK,Thread Group 1-4,true,,1646,3,3,50,1,0,DESKTOP-AAG18PE
1642362653911,64,UserMenu,200,OK,Thread Group 1-2,true,,1646,3,3,64,1,0,DESKTOP-AAG18PE
1642362653950,47,HomePageProducts,200,OK,Thread Group 1-4,true,,4065,3,3,47,1,0,DESKTOP-AAG18PE
1642362653751,331,LoginLogoutEvent,200,OK,Thread Group 1-5,false,"The operation lasted too long: It took 331 milliseconds, but should not have lasted longer than 300 milliseconds.",877,3,3,331,1,1,DESKTOP-AAG18PE
1642362653998,88,SuggestProduct,200,OK,Thread Group 1-4,true,,1375,3,3,88,1,0,DESKTOP-AAG18PE
1642362653975,97,ListSearchProducts,200,OK,Thread Group 1-2,false,"No Nodes Matched //li/class/filter__dropdown-list
",4455,3,3,97,1,1,DESKTOP-AAG18PE
1642362654085,47,UserMenu,200,OK,Thread Group 1-5,true,,1646,2,2,47,1,0,DESKTOP-AAG18PE
1642362654087,57,SearchProduct,200,OK,Thread Group 1-4,true,,17967,2,2,56,1,0,DESKTOP-AAG18PE
1642362654144,73,UserMenu,200,OK,Thread Group 1-4,true,,1646,2,2,73,1,0,DESKTOP-AAG18PE
1642362654133,85,HomePageProducts,200,OK,Thread Group 1-5,true,,4065,2,2,85,1,0,DESKTOP-AAG18PE
1642362654218,47,SuggestProduct,200,OK,Thread Group 1-5,true,,725,2,2,47,1,0,DESKTOP-AAG18PE
1642362654217,54,ListSearchProducts,200,OK,Thread Group 1-4,false,"No Nodes Matched //li/class/filter__dropdown-list
",9311,2,2,53,1,1,DESKTOP-AAG18PE
1642362654266,61,SearchProduct,200,OK,Thread Group 1-5,true,,18003,1,1,60,1,0,DESKTOP-AAG18PE
1642362654327,44,UserMenu,200,OK,Thread Group 1-5,true,,1646,1,1,44,1,0,DESKTOP-AAG18PE
1642362654372,46,ListSearchProducts,200,OK,Thread Group 1-5,false,"No Nodes Matched //li/class/filter__dropdown-list
",4455,1,1,46,1,1,DESKTOP-AAG18PE
1642362718458,281,Anasayfa,200,OK,Thread Group 1-1,true,,23755,1,1,234,1,0,DESKTOP-AAG18PE
1642362718740,194,LoginLogoutEvent,200,OK,Thread Group 1-1,true,,636,2,2,194,1,0,DESKTOP-AAG18PE
1642362718935,49,UserMenu,200,OK,Thread Group 1-1,true,,1646,2,2,49,1,0,DESKTOP-AAG18PE
1642362718986,59,HomePageProducts,200,OK,Thread Group 1-1,true,,4065,2,2,59,1,0,DESKTOP-AAG18PE
1642362718861,236,Anasayfa,200,OK,Thread Group 1-2,true,,23755,2,2,194,1,0,DESKTOP-AAG18PE
1642362719047,58,SuggestProduct,200,OK,Thread Group 1-1,true,,1375,2,2,58,1,0,DESKTOP-AAG18PE
